,data,type
0,Aabenraa,Location
1,Aagotnes,Location
2,Aalborg,Location
3,Aalesund,Location
4,Aardalstangen,Location
5,Aarhus,Location
6,Aasiaat,Location
7,Abadan,Location
8,Abashiri,Location
9,Abbot Point,Location
10,Aberdeen,Location
11,Abidjan,Location
12,Abo Terminal,Location
13,Aboshi,Location
14,Aboshi,Location
15,Abu al Bukhoosh Terminal,Location
16,Abu Dhabi,Location
17,Abu Kammash,Location
18,Abu Kir,Location
19,Abu Zenima,Location
20,Acajutla,Location
21,Acapulco,Location
22,Achladi,Location
23,Adabiya,Location
24,Adelaide,Location
25,Aden,Location
26,Aeroskobing,Location
27,Agadir,Location
28,Agbami Terminal,Location
29,Agioi Theodoroi,Location
30,Aguadulce,Location
31,Aguirre,Location
32,Ahus,Location
33,Ain Sukhna Terminal,Location
34,Aioi,Location
35,Ajaccio,Location
36,Ajman,Location
37,Akita,Location
38,Akranes,Location
39,Akranes,Location
40,Aktau,Location
41,Akureyri,Location
42,Al Basra Terminal,Location
43,Al Jazeera,Location
44,Al Shaheen Terminal,Location
45,Alameda,Location
46,Alanya,Location
47,Albany,Location
48,Albany,Location
49,Alcudia,Location
50,Alderney,Location
51,Aleksandrovsk-Sakhalinskiy,Location
52,Alexandria,Location
53,Alexandria,Location
54,Alexandroupolis,Location
55,Algeciras,Location
56,Alghero,Location
57,Algiers,Location
58,Aliaga,Location
59,Alicante,Location
60,Aliveri,Location
61,Allardyce Harbour,Location
62,Almeria,Location
63,Almirante,Location
64,Alotau,Location
65,Alta,Location
66,Altamira,Location
67,Alumar,Location
68,Alumar,Location
69,Amagasaki,Location
70,Amamapare,Location
71,Ambarli,Location
72,Ambes,Location
73,Ambes,Location
74,Ambon,Location
75,Ambriz,Location
76,Amirabad,Location
77,Ammassalik,Location
78,Amsterdam,Location
79,Amuay Bay,Location
80,An Ping,Location
81,Anacortes,Location
82,Anadyr,Location
83,Anapa,Location
84,Anchorage,Location
85,Ancona,Location
86,Andres,Location
87,Anewa Bay,Location
88,Angoon,Location
89,Angra do Heroismo,Location
90,Angra dos Reis,Location
91,Annaba,Location
92,Anoa Terminal,Location
93,Anqing,Location
94,Antalya,Location
95,Antan Terminal,Location
96,Antilla,Location
97,Antofagasta,Location
98,Antsiranana,Location
99,Antwerp,Location
100,Anzio,Location
101,Aomori,Location
102,Apapa-Lagos,Location
103,Aparri,Location
104,Apia,Location
105,Appledore,Location
106,Apra,Location
107,Aqaba,Location
108,Aracaju,Location
109,Aratu,Location
110,Araya,Location
111,Arbatax,Location
112,Archangel,Location
113,Ardrishaig,Location
114,Ardrossan,Location
115,Ardrossan,Location
116,Arecibo,Location
117,Arendal,Location
118,Argentia,Location
119,Argostoli,Location
120,Arguineguin,Location
121,Arica,Location
122,Arjuna Terminal,Location
123,Arklow,Location
124,Armuelles,Location
125,Arrecife,Location
126,Arroyo Barril,Location
127,Arroyo Seco,Location
128,Arzew,Location
129,Asaluyeh Terminal,Location
130,Ash Shihr Terminal,Location
131,Ashdod,Location
132,Ashkelon,Location
133,Ashland,Location
134,Ashtabula,Location
135,Ashtart Terminal,Location
136,Asnaesvaerkets Havn,Location
137,Aspropyrgos,Location
138,Assab,Location
139,Assens,Location
140,Astakos-Platiyali,Location
141,Astoria,Location
142,Astrakhan,Location
143,Asuncion,Location
144,Atsumi,Location
145,Atucha,Location
146,Auckland,Location
147,Augusta,Location
148,Avatiu,Location
149,Aveiro,Location
150,Aviles,Location
151,Ayia Marina,Location
152,Ayios Nikolaos (Crete),Location
153,Ayr,Location
154,Azov,Location
155,Ba Vi Terminal,Location
156,Bagnoli,Location
157,Bahe,Location
158,Bahia Blanca,Location
159,Bahia Honda,Location
160,Bainbridge,Location
161,Bajo Grande,Location
162,Baku,Location
163,Balao Terminal,Location
164,Balboa,Location
165,Balikpapan,Location
166,Ballast Head,Location
167,Balongan Terminal,Location
168,Baltimore,Location
169,Baltiysk,Location
170,Bamble,Location
171,Banaba,Location
172,Banana,Location
173,Bandar Abbas,Location
174,Bandar Anzali,Location
175,Bandar Imam Khomeini,Location
176,Bandar Mahshahr,Location
177,Bandholm,Location
178,Bandirma,Location
179,Bangkok,Location
180,Bangor,Location
181,Bangor,Location
182,Banias,Location
183,Banjarmasin,Location
184,Banjul,Location
185,Banten,Location
186,Bantry Bay,Location
187,Baobab Terminal,Location
188,Bar,Location
189,Baracoa,Location
190,Barahona,Location
191,Barbers Point,Location
192,Barcadera,Location
193,Barcelona,Location
194,Bari,Location
195,Barletta,Location
196,Barranqueras,Location
197,Barranquilla,Location
198,Barrow Island Terminal,Location
199,Barrow-in-Furness,Location
200,Barry,Location
201,Bashayer Terminal,Location
202,Basle,Location
203,Basse Terre,Location
204,Basseterre,Location
205,Bastia,Location
206,Basuo,Location
207,Bata,Location
208,Batangas,Location
209,Bathurst,Location
210,Baton Rouge,Location
211,Batumi,Location
